batch_size,baseline_ips,baseline_std,mup_ips,mup_std,speedup,baseline_params,mup_params,param_ratio
16,129.81017194674763,0.24365261775155525,215.40804335199954,1.0947573394287862,1.6594080426945814,2143486,16956,0.007910478538231647
32,130.42106301943096,0.5746977472994941,212.96432778625422,0.39476980478437146,1.632898267011713,2143486,16956,0.007910478538231647
64,87.1114399578069,0.12900226539565116,212.48281632885528,0.19485386622350132,2.4392067957064305,2143486,16956,0.007910478538231647
128,50.127618856129615,0.007384374033111142,214.99902984253578,0.2135598350111127,4.289033366208769,2143486,16956,0.007910478538231647
256,26.871595089601414,0.003781772754564525,152.48934187549327,0.027089848710760426,5.674740980839747,2143486,16956,0.007910478538231647
512,13.722751750564987,0.000870544250290883,83.966834124486,0.020291825507833747,6.118804424267819,2143486,16956,0.007910478538231647
